run_id,task,task_name,retention_pct,selection_rank,feature_index,wavenumber,mean_abs_shap
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,1,520,920.0,0.0047002977300326
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,2,372,772.0,0.0046726903195006
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,3,365,765.0,0.0040559917849909
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,4,1148,1548.0,0.0036074389478967
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,5,363,763.0,0.0032970371323022
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,6,519,919.0,0.003204997074971
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,7,364,764.0,0.0031210956790439
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,8,371,771.0,0.0030102295331909
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,9,523,923.0,0.0029275932008685
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,10,373,773.0,0.0028950390776203
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,11,1187,1587.0,0.0028581152759317
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,12,521,921.0,0.0028301175447872
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,13,975,1375.0,0.0028005393677081
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,14,526,926.0,0.0027871139884045
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,15,518,918.0,0.0027207565059157
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,16,1110,1510.0,0.0026789247694794
shap_feature_selection_extratrees_p1_20260529_182607,P1_thiram_presence,Thiram Presence,5,17,1188,1588.0,0.0025947344069229
